estimation_id,index,parent_index,baseline_device_type,baseline_device_idx,cli_loop_id,source_location,offload_index,offload_head,location,module,node_type,offload_elapsed_time_for_summary,offload_elapsed_time,total_time_in_hierarchy,total_time_in_hierarchy_percent,app_time,total_time_per_largest_thread,self_time_per_largest_thread,dependency_type,baseline_global_size,baseline_local_size,exe_target,why_not_offloaded,offload_device_type,offload_device_idx,offload_head_type,speed_up,offload_bounded_by,max_speed_up,offloaded_rank,non_offloaded_rank,total_est_time_accel_seconds,total_est_time_accel,total_est_time_accel_percent,total_time_on_accel,total_est_time_no_taxes,time_by_compute,time_by_dram_bw,time_by_gti_bw,time_by_llc_bw,time_by_l3_bw,time_by_global_atomic,sum_latencies,memory_latencies,atomic_latencies,non_accel_time,does_fit,is_offloaded,is_offload_candidate,total_time_in_mpi,measured_total_time_in_mpi,total_time_in_ignored,measured_total_time_in_ignored,node_position,offload_head_loc,frac_offloaded,offload_tax,data_tax,data_tax_no_reuse,data_reuse_gain,data_reuse_gain_relative,launch_tax,invoke_tax,config_tax,transfer_tax,proxy_tax,proxy_region_time,global_size,global_work_items_count,global_work_size,local_size,local_work_items_count,local_work_size,work_dim,collapsed_with_head,simd_width,global_size_error,parallel_factor,parallel_threads,parallel_threads_per_eu,unroll_factor,est_instance_count,eu_active,eu_stalled,eu_idle,thread_occupancy,data_transferred_total,data_transferred_in_total,data_transferred_out_total,data_transferred_shared,data_transferred_in,data_transferred_out,data_transferred_inout,data_transferred_private,memory_objects_info,data_transferred_total_no_reuse,data_transferred_in_total_no_reuse,data_transferred_out_total_no_reuse,average_trip_count,call_count,trip_count_total,l3_bytes,l3_read_bytes,l3_write_bytes,l3_bytes_ck,l3_read_bytes_ck,l3_write_bytes_ck,l3_total_bw,l3_read_bw,l3_write_bw,l3_total_bw_util,l3_read_bw_util,l3_write_bw_util,l3_read_time,l3_write_time,gti_bytes,gti_read_bytes,gti_write_bytes,gti_bytes_ck,gti_read_bytes_ck,gti_write_bytes_ck,gti_total_bw,gti_read_bw,gti_write_bw,gti_total_bw_util,gti_read_bw_util,gti_write_bw_util,gti_read_time,gti_write_time,llc_bytes,llc_read_bytes,llc_write_bytes,llc_bytes_ck,llc_read_bytes_ck,llc_write_bytes_ck,llc_total_bw,llc_read_bw,llc_write_bw,llc_total_bw_util,llc_read_bw_util,llc_write_bw_util,llc_read_time,llc_write_time,dram_bytes,dram_write_bytes,dram_read_bytes,dram_bytes_ck,dram_write_bytes_ck,dram_read_bytes_ck,dram_total_bw,dram_read_bw,dram_write_bw,dram_total_bw_util,dram_read_bw_util,dram_write_bw_util,dram_read_time,dram_write_time,atomic_accesses,atomic_hw_writes_per_send,atomic_repetitions,atomic_throughput_per_sc,atomic_throughput_per_ck,fpu_util,flop_per_cycle,bytes_per_iter,bytes_rd_per_iter,bytes_wr_per_iter,float_ops_per_iter,compute,compute_with_memory,vector_compute,vector_compute_with_memory,compute_others_per_iter,noncompute_others_per_iter,ABS_per_iter,Add_per_iter,DIV_per_iter,FMA_per_iter,MAX_per_iter,MIN_per_iter,Mul_per_iter,RECCP_per_iter,SAD_per_iter,SCALE_per_iter,SIGN_per_iter,SQRT_per_iter,Sub_per_iter,Mov_per_iter,Send_per_iter,ABS_impact,Add_impact,DIV_impact,FMA_impact,MAX_impact,MIN_impact,Mul_impact,RECCP_impact,SAD_impact,SCALE_impact,SIGN_impact,SQRT_impact,Sub_impact,Mov_impact,Send_impact,ABS_count,Add_count,DIV_count,FMA_count,MAX_count,MIN_count,Mul_count,RECCP_count,SAD_count,SCALE_count,SIGN_count,SQRT_count,Sub_count,Mov_count,Send_count,float32_ops,float32_op,float32_ai,float64_ops,float64_op,float64_ai,int32_ops,int32_op,int32_ai,int64_ops,int64_op,int64_ai,diagnostics,system_module,module_type,no_execution_count,internal_error,measured_offload_elapsed_time,measured_total_time_in_hierarchy,measured_app_time
,246,18446744073709551611,1,0,,,,expf,expf,libm.so.6,,0.0099940789,0.0099940789,0.0099940789,0.0006353600857015172,1572.97871316,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099940789,0.0099940789,1572.97871316
,292,18446744073709551611,1,0,,,,sqrtf,sqrtf,libm.so.6,,0.0099996449,0.0099996449,0.0099996449,0.0006357139366439002,1572.97871316,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099996449,0.0099996449,1572.97871316
,300,18446744073709551611,1,0,,,,boxMuller,boxMuller,pthread1,,0.01,0.01,0.018996531900000002,0.0012076788923505105,1572.97871316,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,738116.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.018996531900000002,1572.97871316
,291,18446744073709551611,1,0,,,,cosf,cosf,libm.so.6,,0.0199994089,0.0199994089,0.029999408900000003,0.0019071719565570831,1572.97871316,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0199994089,0.029999408900000003,1572.97871316
,294,18446744073709551611,1,0,,,,__logf_finite,__logf_finite,libm.so.6,,0.0399807478,0.0399807478,0.0399807478,0.0025417221139427616,1572.97871316,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0399807478,0.0399807478,1572.97871316
,205,18446744073709551611,1,0,,,,rand,rand,libc.so.6,,0.02,0.02,0.0499740699,0.003177034087105077,1572.97871316,0.01,0.01,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0499740699,1572.97871316
,353,18446744073709551611,1,0,,,,monteCarloThread,monteCarloThread,pthread1,,0.0299768547,0.0299768547,0.049976854700000004,0.003177211127008841,1572.97871316,0.01,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0299768547,0.049976854700000004,1572.97871316
461,354,353,1,0,2,,431,[loop in monteCarloThread],[loop in monteCarloThread],pthread1,Offload Head,0.0299768547,0.0299768547,0.049976854700000004,0.003177211127008841,1572.97871316,0.01,0.0,Parallel: Assumed,,,ACC,n/a - part of offload,2,2,1,5019.719922362612,"Launch_Tax, Latencies, Compute",5019.719922362612,0.029970882881818182,,5.971818181818182e-06,5.971818181818182e-06,6.071756362806838e-06,5.971818181818182e-06,4.754545454545454e-07,2.0181818181818182e-07,2.7083333333333333e-10,1.846590909090909e-10,1.846590909090909e-10,1.1931818181818182e-09,,2.736363636363636e-07,2.736363636363636e-07,,0.0,Yes,Yes,Yes,0.0,0.0,0.0,0.0,Head Node,[loop in monteCarloThread],100.0,5.4963636363636366e-06,0.0,0.0,,,5.4963636363636366e-06,5e-06,0.0,4.963636363636364e-07,0.0,,4x2694 (10776),10776,4x2694,1x32 (32),32,1x32,2,,32,,10880,340,6,1,1,42.44741873804972,57.55258126195027,0.0,75.89285714285714,0,0,0,0,0,0,0,,,,,,4.0,1.0,4.0,336.0,168.0,168.0,0.6424474187380497,0.32122370936902483,0.32122370936902483,706692160.6118548,353346080.3059274,353346080.3059274,0.002509560229445507,0.0012547801147227535,0.0012547801147227535,5.965909090909091e-10,5.965909090909091e-10,13.0,13.0,0.0,0.0248565965583174,0.0248565965583174,0.0,27342256.214149144,27342256.214149144,0.0,0.0001941921606118547,0.0003883843212237094,0.0,1.846590909090909e-10,0.0,13.0,13.0,0.0,0.0248565965583174,0.0248565965583174,0.0,27342256.214149144,27342256.214149144,0.0,0.0001941921606118547,0.0003883843212237094,0.0,1.846590909090909e-10,0.0,13.0,0.0,13.0,0.0248565965583174,0.0,0.0248565965583174,27342256.214149144,27342256.214149144,0.0,0.0005696303377947738,0.0005696303377947738,0.0,2.7083333333333333e-10,0.0,,,,,,68.03594646271512,61.8508604206501,,,,,,,,,,,0,2.5,0,0,0,0,3.5,0,0,0,0,0,1.25,0,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62352963671.12811,29646.0,2280.4615384615386,0.0,0,0.0,5682982791.586999,2702.0,207.84615384615384,0.0,0,0.0,Fallback implemented for dependent_iterations_distance; Detailed static instruction mix was used,0.0,,,,0.0299768547,0.049976854700000004,1572.97871316
461,295,354,1,0,1,,431,[loop in monteCarloThread],[loop in monteCarloThread],pthread1,Child Loop,0.0299768547,0.0299768547,0.049976854700000004,0.003177211127008841,1572.97871316,0.01,0.01,Parallel: Explicit,,,ACC,n/a - part of offload,2,2,,,,,,,,,,0.0299768547,,9.272727272727273e-08,0.0,0.0,0.0,7.883522727272727e-10,,,,,0.0,Yes,Yes,Yes,0.0,0.0,0.0,0.0,Child,[loop in monteCarloThread],0.0,,,,,,,,,,,,Collapsed with Head (10776),,,Collapsed with Head (32),,,,1,,,,,,,,,,,,,,,,,,,,,,,,673.5,4.0,2694.0,222.0,111.0,111.0,0.42447418738049714,0.21223709369024857,0.21223709369024857,466921606.1185469,233460803.05927345,233460803.05927345,0.0016581022944550672,0.0008290511472275336,0.0008290511472275336,3.9417613636363637e-10,3.9417613636363637e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,67.99388145315488,61.812619502868074,,,,,,,,,,,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0.25,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62327724665.391975,29634.0,2279.5384615384614,0.0,0,0.0,5666156787.762907,2694.0,207.23076923076923,0.0,0,0.0,Detailed static instruction mix was used,0.0,,,,0.0299768547,0.049976854700000004,1572.97871316
,283,18446744073709551611,1,0,,,,__expf_finite,__expf_finite,libm.so.6,,0.0709579428,0.0709579428,0.0909585319,0.005782565977467738,1572.97871316,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0709579428,0.0909585319,1572.97871316
